code,date,name
600000,2018-04-12,浦发银行
600016,2018-04-12,民生银行
600019,2018-04-12,宝钢股份
600028,2018-04-12,中国石化
600029,2018-04-12,南方航空
600030,2018-04-12,中信证券
600036,2018-04-12,招商银行
600048,2018-04-12,保利地产
600050,2018-04-12,中国联通
600104,2018-04-12,上汽集团
600111,2018-04-12,北方稀土
600309,2018-04-12,万华化学
600340,2018-04-12,华夏幸福
600518,2018-04-12,康美药业
600519,2018-04-12,贵州茅台
600547,2018-04-12,山东黄金
600606,2018-04-12,绿地控股
600837,2018-04-12,海通证券
600887,2018-04-12,伊利股份
600919,2018-04-12,江苏银行
600958,2018-04-12,东方证券
600999,2018-04-12,招商证券
601006,2018-04-12,大秦铁路
601088,2018-04-12,中国神华
601166,2018-04-12,兴业银行
601169,2018-04-12,北京银行
601186,2018-04-12,中国铁建
601211,2018-04-12,国泰君安
601229,2018-04-12,上海银行
601288,2018-04-12,农业银行
601318,2018-04-12,中国平安
601328,2018-04-12,交通银行
601336,2018-04-12,新华保险
601390,2018-04-12,中国中铁
601398,2018-04-12,工商银行
601601,2018-04-12,中国太保
601628,2018-04-12,中国人寿
601668,2018-04-12,中国建筑
601669,2018-04-12,中国电建
601688,2018-04-12,华泰证券
601766,2018-04-12,中国中车
601800,2018-04-12,中国交建
601818,2018-04-12,光大银行
601857,2018-04-12,中国石油
601878,2018-04-12,浙商证券
601881,2018-04-12,中国银河
601985,2018-04-12,中国核电
601988,2018-04-12,中国银行
601989,2018-04-12,中国重工
603993,2018-04-12,洛阳钼业
